,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
1114,FN-MF-270a.1g,Value of Prepayment Penalty residential mortgages with FICO scores below or equal to 660
1115,FN-MF-270a.1h,Value of Total residential mortgages with FICO scores below or equal to 660
1116,FN-MF-270a.1i,Number of Hybrid or Option ARM residential mortgages with FICO scores above 660
1117,FN-MF-270a.1j,Number of Higher Rate residential mortgages with FICO scores above 660
1118,FN-MF-270a.1k,Number of Prepayment Penalty residential mortgages with FICO scores above 660
1119,FN-MF-270a.1l,Number of total residential mortgages with FICO scores above 660
1120,FN-MF-270a.1m,Value of Hybrid or Option ARM residential mortgages with FICO scores above 660
1121,FN-MF-270a.1n,Value of Higher Rate residential mortgages with FICO scores above 660
1122,FN-MF-270a.1o,Value of Prepayment Penalty residential mortgages with FICO scores above 660
1123,FN-MF-270a.1p,Value of total residential mortgages with FICO scores above 660
1124,FN-MF-270a.2a,Number of residential mortgage modifications with FICO scores above 660
1125,FN-MF-270a.2b,Number of residential mortgage modifications with FICO scores below or equal to 660
1126,FN-MF-270a.2c,Number of residential mortgage foreclosures with FICO scores above 660
1127,FN-MF-270a.2d,Number of residential mortgage foreclosures with FICO scores below or equal to 660
1128,FN-MF-270a.2e,Number of residential mortgage short sales or deeds in lieu of foreclosure with FICO scores above 660
1129,FN-MF-270a.2f,Number of residential mortgage short sales or deeds in lieu of foreclosure with FICO scores below or equal to 660
1130,FN-MF-270a.2g,Value of residential mortgage modifications with FICO scores above 660
1131,FN-MF-270a.2h,Value of residential mortgage modifications with FICO scores below or equal to 660
1132,FN-MF-270a.2i,Value of residential mortgage foreclosures with FICO scores above 660
1133,FN-MF-270a.2j,Value of residential mortgage foreclosures with FICO scores below or equal to 660
1134,FN-MF-270a.2k,Value of residential mortgage short sales or deeds in lieu of foreclosure with FICO scores above 660
1135,FN-MF-270a.2l,Value of residential mortgage short sales or deeds in lieu of foreclosure with FICO scores below or equal to 660
1136,FN-MF-270a.3a,Total amount of monetary losses as a result of legal proceedings associated with communications to customers and remuneration of loan originators
1137,FN-MF-270a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
1138,FN-MF-270a.4a,Description of remuneration structure of loan originators
1139,FN-MF-270b.1a,Number of mortgages issued to minority borrowers with FICO scores above 660
1140,FN-MF-270b.1b,Number of mortgages issued to minority borrowers with FICO scores below or equal to 660
1141,FN-MF-270b.1c,Number of mortgages issued to all other borrowers with FICO scores above 660
1142,FN-MF-270b.1d,Number of mortgages issued to all other borrowers with FICO scores below or equal to 660
1143,FN-MF-270b.1e,Value of mortgages issued to minority borrowers with FICO scores above 660
1144,FN-MF-270b.1f,Value of mortgages issued to minority borrowers with FICO scores below or equal to 660
1145,FN-MF-270b.1g,Value of mortgages issued to all other borrowers with FICO scores above 660
1146,FN-MF-270b.1h,Value of mortgages issued to all other borrowers with FICO scores below or equal to 660
1147,FN-MF-270b.1i,Weighted average Loan-to-Value (LTV) ratio of mortgages issued to minority borrowers with FICO scores above 660
1148,FN-MF-270b.1j,Weighted average Loan-to-Value (LTV) ratio of mortgages issued to minority borrowers with FICO scores below or equal to 660
1149,FN-MF-270b.1k,Weighted average Loan-to-Value (LTV) ratio of mortgages issued to all other borrowers with FICO scores above 660
1150,FN-MF-270b.1l,Weighted average Loan-to-Value (LTV) ratio of mortgages issued to all other borrowers with FICO scores below or equal to 660
1151,FN-MF-270b.2a,Total amount of monetary losses as a result of legal proceedings associated with discriminatory mortgage lending
1152,FN-MF-270b.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
1153,FN-MF-270b.3a,Description of policies and procedures for ensuring nondiscriminatory mortgage origination
1154,FN-MF-450a.1a,Number of mortgage loans in 100-year flood zones
1155,FN-MF-450a.1b,Value of mortgage loans in 100-year flood zones
1156,FN-MF-450a.2a,"Amount of credit risk for mortgage loans attributable to default risk from weather-related natural catastrophes, by geographic region"
1157,FN-MF-450a.2b,"Percentage of credit risk for mortgage loans attributable to default risk from weather-related natural catastrophes, by geographic region"
1158,FN-MF-450a.3a,Description of how climate change and other environmental risks are incorporated into mortgage origination and underwriting
1159,HC-BP-000.Aa,Number of patients treated
1160,HC-BP-000.Ba,Number of drugs in portfolio
1161,HC-BP-000.Bb,Number of drugs in research and development (Phases 1-3)
1162,HC-BP-210a.1a,"Discussion, by world region, of management process for ensuring quality and patient safety during clinical trials, including those conducted with third-party clinical research organizations (CROs)"
1163,HC-BP-210a.1b,"Description of processes for obtaining informed consent, of incentives offered to participants, and of any clinical trials terminated due to failure to follow good clinical practice standards"
1164,HC-BP-210a.2a,Number of FDA Sponsor Inspections related to clinical trial management and pharmacovigilance that resulted in Voluntary Action Indicated (VAI)
1165,HC-BP-210a.2b,Number of FDA Sponsor Inspections related to clinical trial management and pharmacovigilance that resulted in Official Action Indicated (OAI)
1166,HC-BP-210a.3a,Total amount of losses as a result of legal proceedings associated with clinical trials in developing countries
1167,HC-BP-210a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1168,HC-BP-240a.1a,Description of actions and initiatives to promote access to health care products for priority diseases and in priority countries as defined by the Access to Medicine Index
1169,HC-BP-240a.2a,List of products on the WHO List of Prequalified Medicinal Products as part of its Prequalification of Medicines Programme (PQP)
1170,HC-BP-240b.1a,Number of settlements of Abbreviated New Drug Application (ANDA) litigation that involved payments and/or provisions to delay bringing an authorized generic product to market for a defined time period
1171,HC-BP-240b.2a,Percent change in average list price across U.S. product portfolio compared to previous year
1172,HC-BP-240b.2b,Percent change in average net price across U.S. product portfolio compared to previous year
1173,HC-BP-240b.3a,Percent change in list price of product with largest increase compared to previous year
1174,HC-BP-240b.3b,Percent change in net price of product with largest increase compared to previous year
1175,HC-BP-250a.1a,List of products listed in the Food and Drug Administration’s (FDA) MedWatch Safety Alerts for Human Medical Products database
1176,HC-BP-250a.2a,Number of fatalities associated with products as reported in the FDA Adverse Event Reporting System. The entity shall disclose the number of fatalities associated with all drugs and biologic products it manufactures.
1177,HC-BP-250a.3a,Number of recalls issued
1178,HC-BP-250a.3b,Total units recalled
1179,HC-BP-250a.3c,The entity shall discuss notable recalls such as those that affected a significant number of units of one product or those related to serious injury or fatality
1180,HC-BP-250a.4a,"Total amount of product accepted for take-back, reuse, or disposal"
1181,HC-BP-250a.5a,"Number of FDA enforcement actions taken in response to violations of current good manufacturing practices (cGMP), by type"
1182,HC-BP-260a.1a,Description of methods and technologies used to maintain traceability of products throughout the supply chain and prevent counterfeiting
1183,HC-BP-260a.2a,Description of process for alerting customers and business partners of potential or known risks associated with counterfeit products
1184,HC-BP-260a.3a,"Number of actions that led to raids, seizure, arrests, and/or filing of criminal charges related to counterfeit products"
1185,HC-BP-260a.3b,"Description of actions that led to raids, seizure, arrests, and/or filing of criminal charges related to counterfeit products"
1186,HC-BP-270a.1a,Total amount of monetary losses as a result of legal proceedings associated with false marketing claims
1187,HC-BP-270a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the losses"
1188,HC-BP-270a.2a,Description of code of ethics governing promotion of off-label use of products
